看板 gay,https://www.ptt.cc/bbs/gay/M.1516598622.A.1CA.html,naruto1010 (鳴人),Fw: [公告] 重申嚴禁交易法律/法令禁止之財貨/服務,Mon Jan 22 13:23:40 2018,17,"

作者: mousepad ( ) 看板: SYSOP
標題: [公告] 重申嚴禁交易法律/法令禁止之財貨/服務
時間: Thu Jan 18 22:21:44 2018


0）
因應本站不時受行政機關來函要求處置「法律或政府法令禁止（於網路）交易財貨／服務之交易文」，特此公告，重申本站政策，並加重罰責。

1）
a.
本站重申嚴禁張貼任何「法律或政府法令禁止（於網路）交易之財貨／服務」之交易文，包括但不限於：

＊槍砲彈藥、煙火（依槍砲彈藥管制條例、消防法）

＊毒品、及其生成物（依毒品危害防制條例）

＊藥品、醫療器材、嬰幼兒食品（依藥事法、醫療法、衛福部函令）

＊隱形眼鏡（依衛福部函令）

＊流通貨幣、有價證券（依中央銀行發行新臺幣辦法、證券交易法）

＊動物、保育類植物（依動物保護法、野生動物保育法）

＊人體之一部或全部（依刑法、人體器官移植條例、民法）

＊色情猥褻物（依刑法）

＊盜版品（依著作權法）

＊菸酒（依菸害防制法、菸酒管理法）

其他未列舉或未來新增法律／法令禁止項目亦同。

b.
本文所稱之「交易」為本站板務管理慣用、通用語彙，其具體定義依前開各該法律／法令所禁止之行為為準。交易標的包括但不限於實體貨幣與有價證券、任何形式虛擬貨幣（含批幣）、以物易物、各形式服務  等。

2）
a.
所有新增之相關違規文章，發文之使用者無條件受該板一年以上水桶禁言、且無條件退文處分。各看板請依本公告修正板規中相關處分之規定，修正前一律依照並僅得依照本公告進行處分。

b.
三年內於本站第二度受相關處分確定之使用者，受停止板務服務一年以上處分。

3)
a.
請所有未禁止交易行為之非交易型看板板主，立即宣導，並定期清查、懲處新增相關違規文章。

b. 1.
請所有以交易行為為主題之看板板主，除立即「置底」宣導，並徹底清查該板留存之過去所有文章中違反相關法律／法令者，依既有板規處分、並刪除文章。

b. 2.
請所有以交易行為為主題之看板板主，除日常不定期之管理行為外，即起定期頻繁清查該板新增之相關文章，依本公告2）-a. 給予嚴懲。

c.
任何技術性規避法律／法令之文章，例如以「外盒」、代稱  等掩護實質交易者，責成板務部各級管理者於行政裁量、申訴裁定時，以最嚴格標準認定。

d.
各板板主應每月定期彙整相關處分名單呈交小組長（無小組長之小組由群組長代理），並由站長責成專案人員彙整小組長／群組長呈交處分名單，對累犯者進行全站性處分。

e.
嚴重或連續怠忽上開職責之板主，小組長必須依情節輕重給予處分，不得寬貸。

4）
a.
板務部各層級人員之管理、宣導責任，於本文公告同時立即生效。

b.
本文新增加重使用者罰則部份，於本文公告24小時起生效。

c.
本公告各條文生疑義者，由板務站長群為最終解釋機構，修正亦同。

--
                                 01/18 22:33
                                          01/18 22:33
                                  01/18 22:35
                                    01/18 22:36
                                 01/18 22:47
                                   01/18 22:49
                                   01/18 22:54
                               01/18 23:00
                                        01/18 23:21
                                          01/18 23:24
                                   01/18 23:28
                                      01/18 23:28
                                   01/18 23:31
                                      01/18 23:36
                                01/18 23:36
                                    01/18 23:44
                                     01/18 23:45
                                          01/18 23:45
                                      01/18 23:51
                                       01/18 23:54
                                     01/18 23:54
                                            01/18 23:59
                                 01/19 00:13
                                     01/19 00:17
                                 01/19 00:28
                                  01/19 00:30
                                      01/19 00:50
                                  01/19 00:50
                                        01/19 00:52
                                   01/19 01:07
                                01/19 01:10
                                   01/19 01:11
                                    01/19 01:26
                                      01/19 01:39
                                   01/19 01:48
                                    01/19 01:59
                                     01/19 02:08
                                   01/19 02:16
                              01/19 02:51
                                   01/19 03:52
                                        01/19 04:56
                                   01/19 06:00
                                  01/19 06:00
                                  01/19 06:00
                                  01/19 06:01
                                    01/19 06:06
                                         01/19 07:25
                                   01/19 08:15
                                        01/19 08:26
                                      01/19 08:44
                                  01/19 09:01
                                 01/19 09:34
                                  01/19 09:49
                                 01/19 09:49
                                   01/19 09:56
                                   01/19 10:29
                                  01/19 10:46
                               01/19 10:50
                                 01/19 12:08
                                   01/19 12:09
                                   01/19 12:17
                                       01/19 12:41
                                    01/19 13:57
                                   01/19 14:26
                               01/19 14:31
                                01/19 14:31
                                    01/19 17:11
                                   01/19 17:11
                                    01/19 17:15
                                   01/19 17:16
                                       01/19 19:11
                                 01/19 19:12
                                          01/19 20:21
                                   01/19 20:22
                              01/19 21:17
                                     01/19 21:22
                                            01/19 21:23
                                     01/19 21:23
                                    01/19 21:28
                                        01/19 22:36
                                           01/19 22:55
                                    01/19 22:56
                                         01/19 23:47
                                    01/20 00:33
                                   01/20 02:49
                                      01/20 02:50
                                   01/20 02:50
                                01/20 08:27
                                      01/20 08:27
                                  01/20 08:47
                                 01/20 09:03
                                     01/20 10:35
                                     01/20 11:32
                                   01/20 13:22
                                    01/20 14:56
                                 01/20 15:08
                                 01/20 16:53
                                          01/20 18:08
                               01/20 21:18
                                    01/20 21:25
                                         01/20 21:53
                                   01/20 21:57
                                  01/20 22:56
                                01/20 23:23
                                      01/21 00:12
                                  01/21 00:12
                                  01/21 01:25
                                        01/21 12:01
                                        01/21 13:10
                                         01/21 14:34
                                   01/21 15:08
                                       01/21 16:02
                                    01/21 19:47
                                     01/21 20:54
                                     01/21 21:54
                                           01/21 21:54
                                           01/22 01:46
                                     01/22 09:14
                                      01/22 09:26
                                    01/22 09:33
                               01/22 09:56
                                01/22 10:08

"
看板 gay,https://www.ptt.cc/bbs/gay/M.1611036680.A.EE3.html,pipiboygay (喜歡男人的男生),[花痴] 美商度雷克資本創辦人傅冠龍,Tue Jan 19 14:11:18 2021,3,"
今天看到YT創辦人的專訪，突然看到有這麼帥的天菜

天哪，年輕正值壯年30多歲，外表俊秀，身材健壯，聲音好聽，又多金有專業..

怎麼這麼多的優點是完全集中在一個人身上呀



--
"
看板 gay,https://www.ptt.cc/bbs/gay/M.1611031704.A.223.html,joker (就可叔叔),[租屋] 南港花園社區 (信義區福德街底),Tue Jan 19 12:48:22 2021,0,"


近南港信義松山，優質電梯大樓
房屋地點：南港花園社區 (信義區福德街底)
可入住時間：2月28日前
格局：3房(2大1小，目前小間出租)1廳1衛1廚房及前後陽台，房間皆為雅房
屋齡：約20年
鄰近交通：樓下公車站(88.88區.286.藍22.藍10.仁愛幹線 直達捷運站) 近信義快速道路，騎車8分可到高鐵南港站
鄰近捷運站：藍線：後山埤站(騎車5分)、昆陽站(騎車5分) ；紅線：象山站(騎車8分) ；綠線：松山站(騎車8分)
生活機能：玉成公園游泳池、成德國中健身中心、南港健身中心
松山車站、頂好、全聯、好市多、家樂福、大潤發
信義商圈、信義威秀影城、新光三越信義新天地、微風南山、Taipei 101
所在樓層：17樓(共18樓) 頂樓101夜景一覽無遺，跨年免費煙火景觀
租金(月)：7000元（不含水電瓦斯網路費用，其他支出依帳單平均計算）
屋內共用設施：奇美液晶電視、沙發、餐桌、洗衣機、冷氣機、冰箱、健身車、熱水瓶、電鍋、飯鍋、鍋碗瓢盆...等
房間設施：大對外窗、單人床、書桌、書櫃、衣櫥、電扇
格局坪數：小房間約4-5坪（房間很小，適合一個人）
隔間材質：大樓水泥隔間
特別說明：
1. 客廳空間有開放抽菸、有養1隻貓(需接受貓且不會欺負小動物喔)
2. 環境清幽，高樓層通風佳
3. 需收入穩定，且有長期租賃需求者(租期勿低於1年)
4. 彩虹公寓，限定男同志、女同志、雙性戀、跨性別、或百分百接受同志者
5. 希望是可溝通的朋友一起生活(沒有生活規範，大家互相配合保持環境整潔)
6. 環境照片供參考，因時隔一年，擺設等已有變動

參考照片



聯絡方式：[LINE：danb]

--
"
看板 gay,https://www.ptt.cc/bbs/gay/M.1610997068.A.97B.html,maxw1102 (今晚打老虎),[自介] 壯年熊誠意徵友（新竹佳）,Tue Jan 19 03:11:06 2021,15,"
OK 這次的自介從我的印象說起

這是小時候的我-4歲


這是國小時候的我-12歲


再來是高中的時候-18歲
108 KG


然後是大學畢業 最胖的時候-22歲
148 KG


接著就上台北生活的時候-23歲
125 KG


在台北剛接觸圈內的時候-24歲
116 KG


直到前年跟市長合照的時候-32歲
110 KG


最近一個月剪完頭毛的時候-33歲
99 KG


好的 如果你有看到這
相信你想知道我更多
這邊就簡單快速說一下

出生在新竹湖口客家庄
身高：185
體重：99（總算回到雙位數了
星座：牡羊
興趣：追劇、電影、出外走走、唱歌、手遊
專長：節目企劃、攝影、ES後製

過去10年在雙北擔任媒體人
現在是 知名汽車品牌座椅品保技術員

目前玩的手遊
忍者必須死、拂曉的拾荒團
DEEMO、VOEZ、Muse Dash

喜歡的類型
剛接觸圈子的時候是猴子到猛男（狼）
現在發現肉肉的好（肉猴）
也可以接受有肚子的（熊）

這次主要希望有緣認識一些人
無論是FB、IG皆可
帳號等同我的PTT ID（maxw1102）
歡迎++來聊聊
（基本上不是廣告詐騙帳號都會通過）

因為我已經離開大台北
長期在老家工作及新竹地區生活
所以希望可以認識一下新竹的同好
這樣以後出去走走、看電影什麼的
比較有伴

當然我很喜歡看展覽
動漫展、藝術展、貼圖角色展之類的
台北的朋友也可以來認識認識

雖然平常很愛打手遊
看似個宅宅
但事實上我一陣子就要外出一次
我還是很喜歡往外呼吸新鮮空氣的

平常工作以外
除了打手遊就是追劇
所以也可以來分享你追的劇
交流一下了

希望這次不要再是加了之後沒聊天
（尤其是交友app 幾乎都沒幾天就沒下文）
基本上有加你我都會去互動
就算是外國人我也會用翻譯去留言

希望這次可以徵得一些朋友
大叔怕寂寞 來聊聊天嘛

本次自介結束
想了解我其它過去
可以看我之前的自介

謝謝收看！

ps.另外想徵求會修鬍子的大大
我想要好看的落腮鬍
每次修壞掉都要剃光重來（慘

--
飲食控制後 甜飲減少攝取而來
那是我頭髮現在都剪九分頭
其實我髮量一直偏少
抱歉 抱歉
我改成壯年好了
現在都已經一堆人叫大叔了
想說也算中年了
之前八卦版有篇討論
也很多人認為30歲就算中年
所以也這麼覺得QQ
欸～竟然有人喜歡148那時候
那時期的我很自卑欸XDD
"
看板 gay,https://www.ptt.cc/bbs/gay/M.1610991669.A.5F2.html,whoamia (我是誰這是哪),[花痴] 臉書廣告的男模,Tue Jan 19 01:41:07 2021,4,"


時常在臉書跳出某家產品的廣告影片

裡面的某位男模身材很好又很帥，每次看到都會點開來看（結果臉書就被這家糾纏不清）

避免業配嫌疑都沒有截到產品XD




有人知道他是誰嗎～～～



-----
Sent from JPTT on my iPhone

--
"
看板 Isayama,https://www.ptt.cc/bbs/Isayama/M.1610992486.A.A93.html,csghuuguh (ggininder),[閒聊] 覺得米卡莎的新人設如何,Tue Jan 19 01:54:44 2021,91,"
米卡莎的新人設


1-3季人設


我先承認我比較喜歡&習慣舊設定

比較有女人味又漂亮（有化妝？）


新版的忠實還原漫畫

我個人是嘴唇比較不習慣，但風格確實更寫實


不知道大家比較喜歡哪個？

我個人是覺得這次的改動有點大

雖然是還原了漫畫，但沒有繼承動畫前幾季的設定


--
其實我原本是蠻期待MAPPA版米卡莎
因為動畫的米卡莎外型算是跟漫畫差蠻多的
今天看完動畫後 好喔 忠於原作QQ
真的 臉部的細節有點不足
真的就是帥了 正妹元素大減
同一部作品&同一個角色
唇膏
前期的畫風真的有點微妙
少了點情緒的感覺
都不錯啊


少了點主席氣場
真的是胖了一圈
馬萊陣營畫的比較好
"
看板 job,https://www.ptt.cc/bbs/job/M.1611044069.A.1E7.html,heary2006 (heary),[台北] 臺北市立大學特殊教育學系誠徵專任助理,Tue Jan 19 16:14:27 2021,0,"




請各位資方配合遵守。






臺北市立大學特殊教育學系



專案計畫助理1名


（一）負責聯繫與協調專案計畫與校內外相關部會單位之行政事務。
（二）負責專案計畫執行，包含測驗統計分析、計畫案相關行政事項等。
（三）負責各項經費核銷及成果報告等。





（一）教育部許可之國內外大專院校碩士以上學位者。
（二）具服務熱忱，態度謙和，認真負責，細心與耐心，具主動協調溝通與分析判斷之能
力，能獨立作業者。
（三）熟悉公文書寫、擅長文書處理(Word、Excel、Powerpoint)、心理測驗、統計
(SPSS)等。
（四）需可配合例假日研習或會議加班。
（五）具心理測驗統計能力者，優先考量。



臺北市立大學（臺北市中正區愛國西路1號）




週一至週五每日8點30分至17點30分，彈性上下班30分




週休二日



年終1.5月





比照「教育部國民及學前教育署專案計畫專任助理人員工作酬金參考表」碩士級第一年薪
資37,135元標準給付。




1名



特殊教育學系吳淑敏老師
電子信箱: 



檢送資料：
（一）個人履歷表：包含自傳、照片、姓名、出生年月日、性別、地址、電話、電子信箱
、專長、相關經歷等。
（二）歷年成績單正本及畢業證書影本。
（三）身分證影本。
（四）男性須役畢或免役證明一份。

徵選方式：面試 （另行通知）
含專業知能與經驗、工作理念及溝通表達能力等。

請將以上資料於110年1月30日前掛號郵寄至
10048臺北市中正區愛國西路1號 特殊教育學系吳淑敏老師 收，
信封上請註明「應徵數學性向測驗計畫專任助理」（以郵戳為憑），且將上述資料的電子
檔傳送至電子信箱: （主旨：應徵數學性向測驗計畫專任助理
），相關資料恕不退件，合格者另行通知面試。

聘期：自通知報到日起至112年12月31日止

--
"
看板 job,https://www.ptt.cc/bbs/job/M.1611042929.A.A6B.html,bookbook (bookbook),[台北] 中研院資訊處/系統科資訊人員,Tue Jan 19 15:55:27 2021,0,"


請各位資方配合遵守。




中央研究院 資訊服務處




系統科資訊人員



(一)伺服器、磁碟陣列及高效能計算軟硬體管理。
(二)公文寫作及採購作業。
(三)其他主管交辦事項。


(一)具備國內外大學理工相關科系學士以上學歷。
(二)熟悉Linux及Windows系統管理經驗。
(三)工作細心負責，具良好溝通能力及團隊合作能力。

具以下條件者尤佳：
(一)具備高效能計算(High Performance Computing)、IBM Platform
    LSF或OpenStack或AI(深度學習、科學模擬)經驗者。
(二)具備RHCSA或RHCE認證。
(三)具英文聽說讀寫能力者。



中央研究院 資訊服務處



08: 30-17: 30 午休1小時（可彈性調整）
因任務需求而指派加班者，會給予加班費或補休。



週休二日



(1) 年終獎金

(2) 依規定享有院內設施相關優惠



38,000~60,000元，起薪依學經歷。



1人



謝先生 / hsieh168{at}gate.sinica.edu.tw，{at} 請置換為 @



本職缺開放至110年2月20日，意者請備個人履歷及有利於個人表現之其他證明，標題註
明【系統科資訊人員】，email至謝先生
(  hsieh168{at}gate.sinica.edu.tw , {at} 請置換為@)。

應徵資料經初審通過後將email通知面談，未通過者恕不另行通知。


--
                                      01/19 15:55
                                    01/19 15:55
"
看板 job,https://www.ptt.cc/bbs/job/M.1611042725.A.94B.html,akash (hao),[台北] 徵剪髮設計師 (完整培訓，無經驗可),Tue Jan 19 15:52:03 2021,0,"




請各位資方配合遵守。


台和捷麗有限公司(QB HOUSE)/台灣邁那比股份有限公司代徵



剪髮設計師


剪髮造型服務(無洗染燙，不傷手)


對剪髮有興趣，能配合排班，耐久站


大台北地區


11:30~21:30(排班制)


9~10天


完整培訓，業績獎金


28,000元起


2






--
"
看板 job,https://www.ptt.cc/bbs/job/M.1611041084.A.14A.html,minminid (minminid),[台北] 臺大醫院家醫科誠徵專任研究助理,Tue Jan 19 15:24:42 2021,0,"




請各位資方配合遵守。


臺大醫院家醫科





學士級專任研究助理



(1)整理病患臨床資料
(2)協助研究進行、分析
(3)計畫相關行政事務
(4)臨時交辦事項

        沒有內容會被刪文!!

(1)大學醫學、護理公衛或心理相關科系畢業，有臨床實務工作經驗者優先
(2)能獨立審閱、摘要病歷資料
(3)熟悉電腦文書軟體操作(Word Excel PPT)
(4)能操作SPSS統計軟體者佳





臺大醫院


週一至週五 08:30~17:30 午休時間：12:00~13:00


每週工時超過40小時，請寫加班費

週休二日，見紅休




微風臺大醫院商場9折

請勿寫勞健保 無勞健保是違法的
此欄請寫額外的福利
依「國立臺灣大學計畫專任研究助理支給參考表」
學士第一年月薪32466元起，依年資敘薪



時薪工作請貼Part-Time板
月薪未達24000一樣會被刪文


1人


意者請將履歷、自介等相關資料寄至
 巫小姐
合適者通知面試，不合者不另通知，謝謝！


聘期至2021年12月底，期滿視情況續聘

--
"
